identifier	minutes	group
t_XI061_4EP5	486.7	04-tumors_151bp_X10
t_XI061_9EP15	486.433333333333	04-tumors_151bp_X10
t_A050-VBLA	486.25	04-tumors_151bp_X10
t_XI049_9EP1	486.166666666667	04-tumors_151bp_X10
t_XI003_231	485.933333333333	04-tumors_151bp_X10
b_H021-QY2Q95	485.516666666667	03-controls_151bp_X10
t_TCGA-22-5492	485.4	02-tumors_101bp
c_PCSI_0047	485.016666666667	01-controls_101bp
t_CPCG0123	484.95	02-tumors_101bp
t_TCGA-DJ-A13R	484.566666666667	02-tumors_101bp
t_DKFZ-Mrad_12	484.533333333333	04-tumors_151bp_X10
c_XI003_GI-ME-N	484.3	03-controls_151bp_X10
t_ITNET-0797	483.983333333333	02-tumors_101bp
t_ICGC_0415	483.966666666667	02-tumors_101bp
t_C0097	483.533333333333	02-tumors_101bp
t_XI003_NB-AUT-3	483.4	04-tumors_151bp_X10
b_H021-YY7PXK	483.283333333333	03-controls_151bp_X10
t_DKFZ-Mrad_11	483.266666666667	04-tumors_151bp_X10
t_K08K-MPT52W	483.15	04-tumors_151bp_X10
b_H021-JL8KLN	483.033333333333	03-controls_151bp_X10
t_A033-XLW5FQ	482.766666666667	04-tumors_151bp_X10
t_TCGA-CA-6718	482.45	02-tumors_101bp
t_XI003_17041	482.45	04-tumors_151bp_X10
t_RK279	482.3	02-tumors_101bp
t_A050-77WY	481.916666666667	04-tumors_151bp_X10
r_XI003_25114	481.6	04-tumors_151bp_X10
t_XI003_STA-NB-4	481.466666666667	04-tumors_151bp_X10
t_CPCG0217	481.35	02-tumors_101bp
b_H021-N5Y1YY	481.25	03-controls_151bp_X10
t_TCGA-EL-A3CV	480.833333333333	02-tumors_101bp
b_H043-4PGF	480.766666666667	03-controls_151bp_X10
b_H021-NJQ3P2	480.683333333333	03-controls_151bp_X10
t_XI061_16EP7	480.633333333333	04-tumors_151bp_X10
c_K08K-77PSEW	480.566666666667	03-controls_151bp_X10
t_ICGC_0188	480.516666666667	02-tumors_101bp
b_H021-QH6MPU	480.483333333333	03-controls_151bp_X10
b_H021-YWHWPQ	480.466666666667	03-controls_151bp_X10
b_H021-ZJ59W8	480.25	03-controls_151bp_X10
t_H067-41R2SE	480.1	04-tumors_151bp_X10
t_K08K-A5S3SG	480.066666666667	04-tumors_151bp_X10
b_A033-MY5SG9	480.05	03-controls_151bp_X10
b_H021-7Z95ZH	479.95	03-controls_151bp_X10
t_TCGA-FE-A22Z	479.033333333333	02-tumors_101bp
t_TCGA-KL-8330	478.966666666667	02-tumors_101bp
t_CPCG0183	478.516666666667	02-tumors_101bp
t_OCCAMS-RS-022	478.266666666667	02-tumors_101bp
t_OCCAMS-ED-036	478.133333333333	02-tumors_101bp
t_PCSI_0073	478.05	02-tumors_101bp
r_XI003_24642	477.866666666667	04-tumors_151bp_X10
t_CGP_donor_1230796	477.8	02-tumors_101bp
c_H021-FYR8SS	477.783333333333	03-controls_151bp_X10
b_H021-N8HWFF	477.166666666667	03-controls_151bp_X10
t_TCGA-EM-A2CN	476.816666666667	02-tumors_101bp
c_PCSI_0305	476.766666666667	01-controls_101bp
t_TCGA-CD-8529	476.666666666667	02-tumors_101bp
t_MELA-0169	476.466666666667	02-tumors_101bp
t_XI003_20513	476.416666666667	04-tumors_151bp_X10
r_XI003_23267	476.1	04-tumors_151bp_X10
b_H021-QL4GEW	475.983333333333	03-controls_151bp_X10
t_XI003_19079	475.816666666667	04-tumors_151bp_X10
t_H067-K29RL1	475.766666666667	04-tumors_151bp_X10
t_TCGA-EP-A3RK	475.266666666667	02-tumors_101bp
c_H030-D1KL	475.166666666667	03-controls_151bp_X10
t_XI061_16EP5	474.8	04-tumors_151bp_X10
c_XI003_19624	474.566666666667	03-controls_151bp_X10
c_XI003_SK-N-SH	474.55	03-controls_151bp_X10
t_MELA-0232	474.416666666667	02-tumors_101bp
t_OCCAMS-AH-062	474.266666666667	02-tumors_101bp
t_ICGC_0287	474	02-tumors_101bp
b_H021-PU9YWU	473.666666666667	03-controls_151bp_X10
b_H021-XM4N	473.583333333333	03-controls_151bp_X10
b_H021-DES7ZD	473.35	03-controls_151bp_X10
t_CGP_donor_1503128	473.183333333333	02-tumors_101bp
c_H030-6L9J	472.933333333333	03-controls_151bp_X10
t_CPCG0212	472.85	02-tumors_101bp
c_HX15	472.8	01-controls_101bp
r_XI003_26097	472.616666666667	04-tumors_151bp_X10
t_TCGA-EQ-5647	472.383333333333	02-tumors_101bp
t_TCGA-60-2724	472.3	02-tumors_101bp
t_CPCG0102	472.266666666667	02-tumors_101bp
c_XI003_17041	472.216666666667	03-controls_151bp_X10
t_K08K-FCGEVK	472.033333333333	04-tumors_151bp_X10
b_H021-ZHGGJC	471.95	03-controls_151bp_X10
t_TCGA-98-8022	471.783333333333	02-tumors_101bp
t_ICGC_0144	471.516666666667	02-tumors_101bp
t_MELA-0160	471.466666666667	02-tumors_101bp
b_H021-2NNFEM	471.4	03-controls_151bp_X10
t_A033-356A7U	471.4	04-tumors_151bp_X10
c_CPCG0355	471	01-controls_101bp
t_TCGA-13-1487	470.966666666667	02-tumors_101bp
t_TCGA-E8-A418	470.8	02-tumors_101bp
t_TCGA-D7-6527	470.566666666667	02-tumors_101bp
t_XI003_3623	470.466666666667	04-tumors_151bp_X10
b_H021-418T28	470.25	03-controls_151bp_X10
t_A050-V7L7	469.95	04-tumors_151bp_X10
t_DKFZ-Mrad_19	469.833333333333	04-tumors_151bp_X10
c_XI003_15015	469.4	03-controls_151bp_X10
r_XI003_24603	469.3	04-tumors_151bp_X10
c_PCSI_0453	469.2	01-controls_101bp
c_H021-9VNPZ3	469.083333333333	03-controls_151bp_X10
t_XI003_20391	468.766666666667	04-tumors_151bp_X10
b_H021-7SZUP1	468.683333333333	03-controls_151bp_X10
t_A050-4FXC	468.233333333333	04-tumors_151bp_X10
t_ICGC_0185	467.966666666667	02-tumors_101bp
c_C0085	467.8	01-controls_101bp
t_XI003_21776	467.8	04-tumors_151bp_X10
t_ITNET-0809	467.583333333333	02-tumors_101bp
c_XI003_26097	467.55	03-controls_151bp_X10
c_XI003_18800	467.483333333333	03-controls_151bp_X10
b_H021-8KF22F	467.333333333333	03-controls_151bp_X10
c_B087koeln_Gi-ME-Ncell_line	467.316666666667	01-controls_101bp
t_TCGA-KO-8405	467.283333333333	02-tumors_101bp
b_K01A-N751AU	467.25	01-controls_101bp
c_H021-VQNUFH	467.1	03-controls_151bp_X10
b_H021-G83612	467.066666666667	03-controls_151bp_X10
t_K08K-KU3SG4	466.95	04-tumors_151bp_X10
t_XI061_15EP8	466.933333333333	04-tumors_151bp_X10
t_TCGA-KO-8411	466.866666666667	02-tumors_101bp
t_40e507fb-e285-424b-a98b-362e47a53e4a	466.65	02-tumors_101bp
c_XI003_15885	466.616666666667	03-controls_151bp_X10
b_H021-546PMF	466.483333333333	03-controls_151bp_X10
t_CPCG0081	466.383333333333	02-tumors_101bp
t_TCGA-EM-A2OW	466.35	02-tumors_101bp
c_XI003_2151	466.3	03-controls_151bp_X10
t_ICGC_0301	466.216666666667	02-tumors_101bp
t_H067-ZMWZPS	466.066666666667	04-tumors_151bp_X10
b_H021-7VRVFG	465.716666666667	03-controls_151bp_X10
t_XI003_16663	465.716666666667	04-tumors_151bp_X10
t_CPCG0128	465.683333333333	02-tumors_101bp
t_TCGA-52-7812	465.6	02-tumors_101bp
b_H021-W1TY38	465.316666666667	03-controls_151bp_X10
c_H067-RAJMPH	465.266666666667	03-controls_151bp_X10
t_XI003_NB-AUT-1	465.033333333333	04-tumors_151bp_X10
t_CPCG0391	464.716666666667	02-tumors_101bp
t_TCGA-06-0125	464.533333333333	02-tumors_101bp
b_H021-SRB3XC	464.4	03-controls_151bp_X10
c_CGP_donor_GC00003	463.766666666667	01-controls_101bp
t_MELA-0229	463.6	02-tumors_101bp
t_CPCG0374	463.566666666667	02-tumors_101bp
t_A033-1QSXEY	463.533333333333	04-tumors_151bp_X10
t_TCGA-BR-8682	463.516666666667	02-tumors_101bp
t_TCGA-FV-A2QQ	463.483333333333	02-tumors_101bp
b_H021-RPLGMN	463.25	03-controls_151bp_X10
t_C0098	463.033333333333	02-tumors_101bp
b_H021-KFPLSM	463	03-controls_151bp_X10
c_PCSI_0023	462.966666666667	01-controls_101bp
t_XI061_9EP14	462.85	04-tumors_151bp_X10
t_H050-JVA9	462.816666666667	02-tumors_101bp
t_TCGA-AZ-4315	462.766666666667	02-tumors_101bp
t_ICGC_0521	462.75	02-tumors_101bp
b_H021-MDPEHB	462.5	03-controls_151bp_X10
r_XI003_22836	462.466666666667	04-tumors_151bp_X10
t_ICGC_0146	462.066666666667	02-tumors_101bp
t_TCGA-DJ-A4UT	462.05	02-tumors_101bp
c_K01A-3V33WS	461.833333333333	01-controls_101bp
t_MELA-0167	461.833333333333	02-tumors_101bp
t_TCGA-AD-A5EK	461.816666666667	02-tumors_101bp
t_ICGC_0134	461.716666666667	02-tumors_101bp
t_ICGC_0149	461.7	02-tumors_101bp
b_H021-RFH9U7	461.616666666667	03-controls_151bp_X10
t_CGP_donor_1353428	461.466666666667	02-tumors_101bp
t_TCGA-BR-8486	461.166666666667	02-tumors_101bp
c_H030-T2D7	461.133333333333	03-controls_151bp_X10
c_H030-2KFQ	460.883333333333	03-controls_151bp_X10
r_XI003_24531	460.633333333333	04-tumors_151bp_X10
c_C0094	460.433333333333	01-controls_101bp
c_H030-67DF	460.233333333333	03-controls_151bp_X10
t_CPCG0121	460.083333333333	02-tumors_101bp
t_A033-VGSY3R	460.05	04-tumors_151bp_X10
