#chromosomeIndex	startPos	endPos	tadIndex
5	12050000	13975000	1018
5	13920000	14715000	1019
5	14640000	15040000	1020
5	15000000	16480000	1021
5	16410000	17240000	1022
5	17200000	18400000	1023
5	18360000	19720000	1024
5	19600000	20760000	1025
5	20560000	21520000	1026
5	21440000	21840000	1027
5	21800000	22840000	1028
5	22760000	24200000	1029
5	24120000	25280000	1030
5	25000000	26200000	1031
5	26120000	26760000	1032
5	26680000	28040000	1033
5	28000000	28880000	1034
5	28800000	31520000	1035
5	31440000	31800000	1036
5	31760000	32640000	1037
5	32560000	33450000	1038
5	33400000	34040000	1039
5	33960000	34965000	1040
5	34920000	36080000	1041
5	36000000	37400000	1042
5	37320000	37840000	1043
5	37800000	38265000	1044
5	38200000	39560000	1045
5	39320000	40900000	1046
5	40840000	41880000	1047
5	41800000	43120000	1048
5	43040000	43640000	1049
5	43550000	44400000	1050
5	44280000	44880000	1051
5	44825000	45840000	1052
5	45800000	46465000	1053
5	46400000	48400000	1054
5	48400000	49440000	1055
5	49400000	52240000	1056
5	52160000	53800000	1057
5	53760000	54490000	1058
5	54440000	55040000	1059
5	54960000	55560000	1060
5	55510000	56240000	1061
5	56200000	56600000	1062
5	56560000	57800000	1063
5	57760000	58200000	1064
5	58120000	58680000	1065
5	58635000	59120000	1066
5	59080000	59990000	1067
5	59920000	61725000	1068
5	61680000	63440000	1069
5	63360000	64925000	1070
5	64880000	65520000	1071
5	65475000	66120000	1072
5	66040000	67600000	1073
5	67535000	68365000	1074
5	68320000	68920000	1075
5	68840000	70640000	1076
5	70560000	71640000	1077
5	71600000	72225000	1078
5	72160000	72840000	1079
5	72800000	73125000	1080
5	73060000	74050000	1081
5	73960000	75040000	1082
5	75000000	75615000	1083
5	75560000	76160000	1084
5	76100000	76840000	1085
5	76775000	77600000	1086
5	77560000	78315000	1087
5	78240000	79960000	1088
5	79880000	80640000	1089
5	80600000	81600000	1090
5	81560000	83000000	1091
5	82960000	83720000	1092
5	83680000	84560000	1093
