gene	ensembl_id
B3GALNT1	169255
B3GALT1	172318
B3GALT2	162630
B3GALT5	183778
B3GALT6	176022
B3GAT1	109956
B3GAT2	112309
B3GAT3	149541
B3GNT2	170340
B3GNT3	179913
B3GNT4	176383
B3GNT5	176597
B3GNT6	198488
B3GNT7	156966
B3GNT8	177191
B3GNT9	237172
B4GALNT1	135454
B4GALNT2	167080
B4GALNT3	139044
B4GALNT4	182272
B4GALT1	86062
B4GALT2	117411
B4GALT3	158850
B4GALT4	121578
B4GALT5	158470
B4GALT6	118276
B4GALT7	27847
B9D1	108641
B9D2	123810
BAALC	164929
BABAM1	105393
BACE1	186318
BACE1-AS	278768
BACE2	182240
BACH1	156273
BACH2	112182
BAD	2330
BAG1	107262
BAG2	112208
BAG3	151929
BAG4	156735
BAG5	166170
BAGE2	187172
BAGE4	279973
BAGE5	279973
BAHCC1	266074
BAHD1	140320
BAIAP2	175866
BAIAP2L1	6453
BAIAP2L2	128298
BAIAP3	7516
BAK1	30110
BAMBI	95739
BANF1	175334
BANF2	125888
BANK1	153064
BANP	172530
BAP1	163930
BARD1	138376
BARHL1	125492
BARHL2	143032
BARX1	131668
BARX2	43039
BASP1	176788
BASP1P1	230535
BATF	156127
BATF2	168062
BATF3	123685
BAX	87088
BAZ1A	198604
BAZ1B	9954
BAZ2A	76108
BBC3	105327
BBIP1	214413
BBOX1	129151
BBS1	174483
BBS10	179941
BBS12	181004
BBS2	125124
BBS4	140463
BBS5	163093
BBS7	138686
BBS9	122507
BBX	114439
BCAM	187244
BCAN	132692
BCAP29	75790
BCAP31	185825
BCAR1	50820
BCAR3	137936
BCAR4	262117
BCAS1	64787
BCAS2	116752
BCAS3	141376
BCAS4	124243
BCAT1	60982
BCAT2	105552
BCCIP	107949
BCDIN3D	186666
BCHE	114200
BCKDHA	248098
BCKDHB	83123
BCKDK	103507
BCL10	142867
BCL11A	119866
BCL11B	127152
BCL2	171791
BCL2A1	140379
BCL2L1	171552
BCL2L10	137875
BCL2L11	153094
BCL2L12	126453
BCL2L13	99968
BCL2L15	188761
BCL2L2	129473
BCL2L2-PABPN1	258643
BCL3	69399
BCL6	113916
BCL6B	161940
BCL7B	106635
BCL7C	99385
BCL9	116128
BCL9L	186174
BCLAF1	29363
BCO2	197580
BCOR	183337
BCORL1	85185
BCORP1	215580
BCR	186716
BCRP2	169668
BCRP3	215481
BCS1L	74582
BCYRN1	236824
BDH2	164039
BDKRB1	100739
BDKRB2	168398
BDNF	176697
BEAN1	166546
BECN1	126581
BEGAIN	183092
BEND2	177324
BEND3	178409
BEND4	188848
BEND5	162373
BEND6	151917
BEND7	165626
BEST1	167995
BEST2	39987
BEST3	127325
BEST4	142959
BET1	105829
BET1L	177951
BEX1	133169
BEX2	133134
BEX4	102409
BEX5	184515
BFSP1	125864
BFSP2	170819
BGLAP	242252
BGN	182492
BHLHA15	180535
BHLHA9	205899
BHLHB9	198908
BHLHE22	180828
BHLHE23	125533
BHLHE40	134107
BHLHE41	123095
BHMT	145692
BHMT2	132840
BICC1	122870
BICD1	151746
BICD2	185963
BID	15475
BIK	100290
BIN1	136717
BIN2	110934
BIN3	147439
BIRC2	110330
BIRC3	23445
BIRC5	89685
BIRC6	115760
BIRC7	101197
BIRC8	163098
BIVM	134897
BIVM-ERCC5	270181
BLCAP	166619
BLID	259571
BLK	136573
BLM	197299
BLMH	108578
BLNK	95585
BLOC1S1	135441
BLOC1S2	196072
BLOC1S3	189114
BLVRA	106605
BLVRB	90013
BLZF1	117475
BMF	104081
BMI1	168283
BMP1	168487
BMP10	163217
BMP15	130385
BMP2	125845
BMP2K	138756
BMP3	152785
BMP4	125378
BMP5	112175
BMP6	153162
BMP7	101144
BMP8A	183682
BMP8B	116985
BMPER	164619
BMPR1A	107779
BMPR1B	138696
BMPR2	204217
BMS1	165733
BMS1P4	242338
BMS1P4	271816
BMS1P5	204177
BMX	102010
BNC1	169594
BNC2	173068
BNIP1	113734
BNIP2	140299
BNIP3	176171
BNIP3L	104765
BNIPL	163141
BOC	144857
BOD1	145919
BOK	176720
BOK-AS1	234235
BOLA1	178096
BOLA2	183336
BOLA2B	169627
BOLA3	163170
BOLL	152430
BOP1	261236
BPESC1	232416
BPGM	172331
BPHL	137274
BPI	101425
BPNT1	162813
BPTF	171634
BPY2	183753
BPY2B	183795
BPY2C	185894
BRAF	157764
BRAP	89234
BRAT1	106009
BRCA1	12048
BRCA2	139618
BRCC3	185515
BRD1	100425
BRD3	169925
BRD4	141867
BRD7	166164
BRD8	112983
BRD9	28310
BRDT	137948
BRE	158019
BRF1	185024
BRF2	104221
BRI3	164713
BRI3BP	184992
BRIP1	136492
BRIX1	113460
BRK1	254999
BRMS1	174744
